SampleName,Stage,Stage_plot,Site,Site_Code,Taxa,Taxa_Specific,FFG,Consumer,Mass,Date,d13C,d15N,%C,%N,C/N
GRVBR_Lar_Mayfly_1_SI_1,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.146,28-Feb-23,-30.1,9.4,52.3,7.7,6.8
GRVBR_Lar_Mayfly_1_SI_2,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.137,01-Mar-23,-29.6,9.8,50.8,8.8,5.8
GRVBR_Lar_Mayfly_1_SI_3,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.103,01-Mar-23,-30.8,9.4,54.5,7.2,7.6
GRVBR_Lar_Mayfly_2_SI_1,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.129,28-Feb-23,-29.1,8.6,48.7,4.9,9.9
GRVBR_Lar_Mayfly_2_SI_2,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.184,28-Feb-23,-28.1,9.2,44.8,7.4,6
GRVBR_Lar_Mayfly_2_SI_3,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.11,01-Mar-23,-29.2,9.5,52.9,7.6,7
GRVBR_Lar_Stonefly_2_SI_1,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.112,28-Feb-23,-28.2,9.9,57.3,10.5,5.5
GRVBR_Lar_Stonefly_2_SI_2,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.159,02-Mar-23,-27.9,9.4,51.7,9.9,5.2
GRVBR_Lar_Stonefly_2_SI_3,Aquatic larvae,Aquatic larvae,Graves Bridge,GRVBR,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.015,28-Feb-23,-28.2,9.4,45.2,7.3,6.1
GRVBR_Lepidop_SI_1,Terrestrial adult,Terrestrial adult,Graves Bridge,GRVBR,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,1.073,28-Feb-23,-28.1,4,49.7,10.1,4.9
GRVBR_Lepidop_SI_2,Terrestrial adult,Terrestrial adult,Graves Bridge,GRVBR,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,N/A,28-Feb-23,-27.5,6.1,44.5,6.95,7.2
GRVBR_Lepidop_SI_3,Terrestrial adult,Terrestrial adult,Graves Bridge,GRVBR,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,1.193,28-Feb-23,-25.5,7.5,52.3,11.6,4.5
GRVBR_SHRUB_SI_1,Terrestrial leaves,Basal food source,Graves Bridge,GRVBR,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.13,03-Mar-23,-29,6.4,46.7,4.1,11.4
GRVBR_SHRUB_SI_2,Terrestrial leaves,Basal food source,Graves Bridge,GRVBR,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.097,03-Mar-23,-28.1,8.3,49.7,2.4,20.5
GRVBR_SHRUB_SI_3,Terrestrial leaves,Basal food source,Graves Bridge,GRVBR,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.121,03-Mar-23,-29.4,5.3,49.1,2.4,20.6
GRVBR_Tetragnatha_SI_1,Spider,Spider,Graves Bridge,GRVBR,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.067,01-Mar-23,-24.4,12.3,47.8,12.4,3.9
GRVBR_Tetragnatha_SI_2,Spider,Spider,Graves Bridge,GRVBR,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.106,02-Mar-23,-24.9,13.4,50.5,11.8,4.3
GRVBR_Tetragnatha_SI_3,Spider,Spider,Graves Bridge,GRVBR,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.164,28-Feb-23,-23.9,13.5,52.8,13.2,4
POLFLT_Ad_Chiro_SI_1,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,1.201,28-Feb-23,-23.9,10.9,50,10.6,4.7
POLFLT_Ad_Chiro_SI_2,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,1.163,01-Mar-23,-31.7,10.8,49,10.7,4.6
POLFLT_Ad_Hydro_SI_1,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.05,01-Mar-23,-25.1,6.4,54.9,10.4,5.3
POLFLT_Ad_Hydro_SI_2,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.192,01-Mar-23,-24.1,5.9,53.3,11.8,4.5
POLFLT_Ad_Hydro_SI_3,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.103,28-Feb-23,-23.4,8.7,54.7,11.1,4.9
POLFLT_Ad_Lepto_SI_1,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Leptoceridae,Leptoceridae Adult,Gatherer-Collector,Primary Consumer,1.085,01-Mar-23,-25.1,7.8,52.7,9.1,5.8
POLFLT_Ad_Lepto_SI_2,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Leptoceridae,Leptoceridae Adult,Gatherer-Collector,Primary Consumer,N/A,01-Mar-23,-25.7,9.05,53.65,11.95,4.5
POLFLT_Ad_Lepto_SI_3,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Leptoceridae,Leptoceridae Adult,Gatherer-Collector,Primary Consumer,1.124,01-Mar-23,-25,9.5,52.8,12.4,4.3
POLFLT_Ad_Mayfly_2_SI_1,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.188,01-Mar-23,-24.4,7.3,49.1,14.4,3.4
